"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_k_cutoff","tag_mixing_source_file","tag_reporting_flag2","tag_reporting","tag_tau","tau_fish_pars4","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","pairing_version","zero_mixing_events","tag_reporting_zero_mixing_exclusions","model_label"
"ensemble-001",0.916195781737906,0.745,0.1,"bet.2026.mix-0.1.ini",0,"inclusion",5.14,1.42069578783722,0.0883028515366027,-2.42698287816089,0.705,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E001 | h=0.916 | tau=5.14 | K=0.10 | RR=include | M0=0.0883/qtr | creep=0.5/0.25%"
"ensemble-002",0.952715284757023,0.935,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",4.96,1.37624402526639,0.0703495861059744,-2.65427837879406,0.305,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E002 | h=0.953 | tau=4.96 | K=0.20 | RR=exclude | M0=0.0703/qtr | creep=0.5/0.25%"
"ensemble-003",0.921008574278809,0.775,0.35,"bet.2026.mix-0.35.ini",0,"inclusion",5.2,1.43508452528932,0.0722767943826722,-2.6272521642323,0.355,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,18,"E003 | h=0.921 | tau=5.20 | K=0.35 | RR=include | M0=0.0723/qtr | creep=2.0/1.00%"
"ensemble-004",0.929467540089388,0.825,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",4.96,1.37624402526639,0.108344057614506,-2.22244339685536,0.925,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E004 | h=0.929 | tau=4.96 | K=0.15 | RR=exclude | M0=0.1083/qtr | creep=2.5/1.25%"
"ensemble-005",0.823450060401092,0.215,0.3,"bet.2026.mix-0.3.ini",0,"inclusion",4.96,1.37624402526639,0.0779226059697055,-2.55203917603737,0.495,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,14,"E005 | h=0.823 | tau=4.96 | K=0.30 | RR=include | M0=0.0779/qtr | creep=1.5/0.75%"
"ensemble-006",0.900847118561344,0.645,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.0648330299057559,-2.73594008471957,0.165,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E006 | h=0.901 | tau=4.96 | K=0.25 | RR=include | M0=0.0648/qtr | creep=0.5/0.25%"
"ensemble-007",0.914621909616371,0.735,0.35,"bet.2026.mix-0.35.ini",0,"inclusion",5.2,1.43508452528932,0.0986141793473077,-2.31654022094492,0.845,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,18,"E007 | h=0.915 | tau=5.20 | K=0.35 | RR=include | M0=0.0986/qtr | creep=0.5/0.25%"
"ensemble-008",0.866396629481641,0.425,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.2,1.43508452528932,0.0849554955455468,-2.46562774142574,0.645,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E008 | h=0.866 | tau=5.20 | K=0.15 | RR=include | M0=0.0850/qtr | creep=1.0/0.50%"
"ensemble-009",0.879444249940166,0.505,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.14,1.42069578783722,0.0895217029940766,-2.41327419154372,0.725,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E009 | h=0.879 | tau=5.14 | K=0.20 | RR=exclude | M0=0.0895/qtr | creep=1.0/0.50%"
"ensemble-010",0.802381509931566,0.145,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",5.2,1.43508452528932,0.106788860563374,-2.23690165973693,0.915,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E010 | h=0.802 | tau=5.20 | K=0.30 | RR=exclude | M0=0.1068/qtr | creep=2.0/1.00%"
"ensemble-011",0.888738301598888,0.565,0.1,"bet.2026.mix-0.1.ini",1,"exclusion",5.2,1.43508452528932,0.0718897340504598,-2.63262180538867,0.345,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E011 | h=0.889 | tau=5.20 | K=0.10 | RR=exclude | M0=0.0719/qtr | creep=1.0/0.50%"
"ensemble-012",0.950068051981146,0.925,0.05,"bet.2026.mix-0.05.ini",1,"exclusion",5.2,1.43508452528932,0.0691962778307432,-2.67080820637825,0.275,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E012 | h=0.950 | tau=5.20 | K=0.05 | RR=exclude | M0=0.0692/qtr | creep=2.0/1.00%"
"ensemble-013",0.853953022391694,0.355,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",4.96,1.37624402526639,0.100604899207225,-2.29655432262928,0.865,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E013 | h=0.854 | tau=4.96 | K=0.20 | RR=include | M0=0.1006/qtr | creep=1.5/0.75%"
"ensemble-014",0.798761897930364,0.135,0.2,"bet.2026.mix-0.2.ini",0,"inclusion",4.96,1.37624402526639,0.0561650364615546,-2.87946084270241,0.015,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,2,"E014 | h=0.799 | tau=4.96 | K=0.20 | RR=include | M0=0.0562/qtr | creep=0.5/0.25%"
"ensemble-015",0.862961384257733,0.405,0.35,"bet.2026.mix-0.35.ini",1,"exclusion",5.2,1.43508452528932,0.0711184972794447,-2.64340781736635,0.325,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",18,0,"E015 | h=0.863 | tau=5.20 | K=0.35 | RR=exclude | M0=0.0711/qtr | creep=2.5/1.25%"
"ensemble-016",0.842086157448238,0.295,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.0699654018084743,-2.65975441899839,0.295,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E016 | h=0.842 | tau=4.96 | K=0.25 | RR=include | M0=0.0700/qtr | creep=2.0/1.00%"
"ensemble-017",0.962318088723012,0.965,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.14,1.42069578783722,0.0630976089048196,-2.76307240389591,0.125,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E017 | h=0.962 | tau=5.14 | K=0.15 | RR=include | M0=0.0631/qtr | creep=2.0/1.00%"
"ensemble-018",0.868084063286185,0.435,0.2,"bet.2026.mix-0.2.ini",1,"exclusion",5.2,1.43508452528932,0.0805641581056603,-2.51870141688819,0.555,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",2,0,"E018 | h=0.868 | tau=5.20 | K=0.20 | RR=exclude | M0=0.0806/qtr | creep=1.0/0.50%"
"ensemble-019",0.874661383118216,0.475,0.1,"bet.2026.mix-0.1.ini",1,"exclusion",5.14,1.42069578783722,0.0668607539465371,-2.70514312155755,0.215,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E019 | h=0.875 | tau=5.14 | K=0.10 | RR=exclude | M0=0.0669/qtr | creep=0.5/0.25%"
"ensemble-020",0.890262545089038,0.575,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",5.14,1.42069578783722,0.0580765799830844,-2.84599279478813,0.035,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E020 | h=0.890 | tau=5.14 | K=0.25 | RR=include | M0=0.0581/qtr | creep=0.5/0.25%"
"ensemble-021",0.839962630725593,0.285,0.15,"bet.2026.mix-0.15.ini",1,"exclusion",5.2,1.43508452528932,0.0959581470388003,-2.34384315092196,0.815,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,0,"E021 | h=0.840 | tau=5.20 | K=0.15 | RR=exclude | M0=0.0960/qtr | creep=2.5/1.25%"
"ensemble-022",0.781708091051952,0.095,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.14,1.42069578783722,0.0968057014835817,-2.33504938681034,0.825,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E022 | h=0.782 | tau=5.14 | K=0.15 | RR=include | M0=0.0968/qtr | creep=1.5/0.75%"
"ensemble-023",0.706251086046443,0.015,0.05,"bet.2026.mix-0.05.ini",1,"exclusion",4.96,1.37624402526639,0.0635450800856273,-2.75600570235104,0.135,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",0,0,"E023 | h=0.706 | tau=4.96 | K=0.05 | RR=exclude | M0=0.0635/qtr | creep=2.5/1.25%"
"ensemble-024",0.891782015878509,0.585,0.3,"bet.2026.mix-0.3.ini",1,"exclusion",5.2,1.43508452528932,0.0995839962657021,-2.30675380736524,0.855,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",14,0,"E024 | h=0.892 | tau=5.20 | K=0.30 | RR=exclude | M0=0.0996/qtr | creep=1.0/0.50%"
"ensemble-025",0.938848765182386,0.875,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.0770791170864455,-2.56292289001059,0.475,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E025 | h=0.939 | tau=4.96 | K=0.25 | RR=include | M0=0.0771/qtr | creep=1.0/0.50%"
"ensemble-026",0.906908146756983,0.685,0.25,"bet.2026.mix-0.25.ini",0,"inclusion",4.96,1.37624402526639,0.058808497351583,-2.8334689217365,0.045,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",6,6,"E026 | h=0.907 | tau=4.96 | K=0.25 | RR=include | M0=0.0588/qtr | creep=2.5/1.25%"
"ensemble-027",0.805811118293605,0.155,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",5.2,1.43508452528932,0.0889048447406034,-2.42018864142744,0.715,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E027 | h=0.806 | tau=5.20 | K=0.15 | RR=include | M0=0.0889/qtr | creep=2.0/1.00%"
"ensemble-028",0.917783617349319,0.755,0.15,"bet.2026.mix-0.15.ini",0,"inclusion",4.96,1.37624402526639,0.0936015988409805,-2.36870781401007,0.785,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Job 21641 ordinary makepar (no seed)","random-frozen-v1",1,1,"E028 | h=0.918 | tau=4.96 | K=0.15 | RR=include | M0=0.0936/qtr | creep=2.0/1.00%"
